============================================================================
ERA5 ZARR INTEGRITY CHECK
============================================================================
root   : /home/tahiti/ConserveFM/data/ERA5_WeatherBench2_1979_2022
repair : True
[INFO] geopotential                   shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] temperature                    shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] specific_humidity              shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] u_component_of_wind            shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] v_component_of_wind            shape=(93544, 13, 240, 121) chunks=(8, 13, 240, 121)
[INFO] 2m_temperature                 shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] 10m_u_component_of_wind        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] 10m_v_component_of_wind        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] mean_sea_level_pressure        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] surface_pressure               shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] total_precipitation_6hr        shape=(93544, 240, 121) chunks=(8, 240, 121)
[INFO] total time chunks = 128,623

[VARIABLE] geopotential chunks=11,693
[PROGRESS] 250/128,623 0.19% bad=0 repaired=0 failed=0 speed=1613.6 chunks/s ETA=1.3 min
[PROGRESS] 500/128,623 0.39% bad=0 repaired=0 failed=0 speed=1687.0 chunks/s ETA=1.3 min
[PROGRESS] 750/128,623 0.58% bad=0 repaired=0 failed=0 speed=1709.2 chunks/s ETA=1.2 min
[PROGRESS] 15,500/128,623 12.05% bad=0 repaired=0 failed=0 speed=238.6 chunks/s ETA=7.9 min
[PROGRESS] 15,750/128,623 12.25% bad=0 repaired=0 failed=0 speed=235.9 chunks/s ETA=8.0 min
[PROGRESS] 16,000/128,623 12.44% bad=0 repaired=0 failed=0 speed=233.1 chunks/s ETA=8.1 min
[PROGRESS] 16,250/128,623 12.63% bad=0 repaired=0 failed=0 speed=230.8 chunks/s ETA=8.1 min
[PROGRESS] 16,500/128,623 12.83% bad=0 repaired=0 failed=0 speed=228.5 chunks/s ETA=8.2 min
[PROGRESS] 16,750/128,623 13.02% bad=0 repaired=0 failed=0 speed=226.2 chunks/s ETA=8.2 min
[PROGRESS] 17,000/128,623 13.22% bad=0 repaired=0 failed=0 speed=224.1 chunks/s ETA=8.3 min
[PROGRESS] 17,250/128,623 13.41% bad=0 repaired=0 failed=0 speed=221.9 chunks/s ETA=8.4 min
[PROGRESS] 17,500/128,623 13.61% bad=0 repaired=0 failed=0 speed=220.1 chunks/s ETA=8.4 min
[PROGRESS] 17,750/128,623 13.80% bad=0 repaired=0 failed=0 speed=218.3 chunks/s ETA=8.5 min
[PROGRESS] 18,000/128,623 13.99% bad=0 repaired=0 failed=0 speed=216.6 chunks/s ETA=8.5 min
[PROGRESS] 18,250/128,623 14.19% bad=0 repaired=0 failed=0 speed=215.0 chunks/s ETA=8.6 min
[PROGRESS] 18,500/128,623 14.38% bad=0 repaired=0 failed=0 speed=213.4 chunks/s ETA=8.6 min
[PROGRESS] 18,750/128,623 14.58% bad=0 repaired=0 failed=0 speed=211.9 chunks/s ETA=8.6 min
[PROGRESS] 19,000/128,623 14.77% bad=0 repaired=0 failed=0 speed=210.5 chunks/s ETA=8.7 min
[PROGRESS] 19,250/128,623 14.97% bad=0 repaired=0 failed=0 speed=209.0 chunks/s ETA=8.7 min
[PROGRESS] 19,500/128,623 15.16% bad=0 repaired=0 failed=0 speed=207.7 chunks/s ETA=8.8 min
[PROGRESS] 19,750/128,623 15.35% bad=0 repaired=0 failed=0 speed=206.6 chunks/s ETA=8.8 min
[PROGRESS] 20,000/128,623 15.55% bad=0 repaired=0 failed=0 speed=205.3 chunks/s ETA=8.8 min
[PROGRESS] 20,250/128,623 15.74% bad=0 repaired=0 failed=0 speed=204.0 chunks/s ETA=8.9 min
[PROGRESS] 20,500/128,623 15.94% bad=0 repaired=0 failed=0 speed=202.8 chunks/s ETA=8.9 min
[PROGRESS] 20,750/128,623 16.13% bad=0 repaired=0 failed=0 speed=201.3 chunks/s ETA=8.9 min
[PROGRESS] 21,000/128,623 16.33% bad=0 repaired=0 failed=0 speed=199.7 chunks/s ETA=9.0 min
[PROGRESS] 21,250/128,623 16.52% bad=0 repaired=0 failed=0 speed=198.0 chunks/s ETA=9.0 min
[PROGRESS] 21,500/128,623 16.72% bad=0 repaired=0 failed=0 speed=196.4 chunks/s ETA=9.1 min
[PROGRESS] 21,750/128,623 16.91% bad=0 repaired=0 failed=0 speed=195.2 chunks/s ETA=9.1 min
[PROGRESS] 22,000/128,623 17.10% bad=0 repaired=0 failed=0 speed=194.1 chunks/s ETA=9.2 min
[PROGRESS] 22,250/128,623 17.30% bad=0 repaired=0 failed=0 speed=193.0 chunks/s ETA=9.2 min
[PROGRESS] 22,500/128,623 17.49% bad=0 repaired=0 failed=0 speed=191.9 chunks/s ETA=9.2 min
[PROGRESS] 22,750/128,623 17.69% bad=0 repaired=0 failed=0 speed=191.0 chunks/s ETA=9.2 min
[PROGRESS] 23,000/128,623 17.88% bad=0 repaired=0 failed=0 speed=190.1 chunks/s ETA=9.3 min
[PROGRESS] 23,250/128,623 18.08% bad=0 repaired=0 failed=0 speed=189.2 chunks/s ETA=9.3 min

[VARIABLE] specific_humidity chunks=11,693
[PROGRESS] 23,500/128,623 18.27% bad=0 repaired=0 failed=0 speed=189.5 chunks/s ETA=9.2 min
[PROGRESS] 23,750/128,623 18.46% bad=0 repaired=0 failed=0 speed=191.3 chunks/s ETA=9.1 min
[PROGRESS] 24,000/128,623 18.66% bad=0 repaired=0 failed=0 speed=193.1 chunks/s ETA=9.0 min
[PROGRESS] 24,250/128,623 18.85% bad=0 repaired=0 failed=0 speed=194.9 chunks/s ETA=8.9 min
[PROGRESS] 24,500/128,623 19.05% bad=0 repaired=0 failed=0 speed=196.7 chunks/s ETA=8.8 min
[PROGRESS] 24,750/128,623 19.24% bad=0 repaired=0 failed=0 speed=198.5 chunks/s ETA=8.7 min
[PROGRESS] 25,000/128,623 19.44% bad=0 repaired=0 failed=0 speed=200.2 chunks/s ETA=8.6 min
[PROGRESS] 25,250/128,623 19.63% bad=0 repaired=0 failed=0 speed=202.0 chunks/s ETA=8.5 min
[PROGRESS] 25,500/128,623 19.83% bad=0 repaired=0 failed=0 speed=203.8 chunks/s ETA=8.4 min
[PROGRESS] 25,750/128,623 20.02% bad=0 repaired=0 failed=0 speed=205.5 chunks/s ETA=8.3 min
[PROGRESS] 26,000/128,623 20.21% bad=0 repaired=0 failed=0 speed=207.3 chunks/s ETA=8.3 min
[PROGRESS] 26,250/128,623 20.41% bad=0 repaired=0 failed=0 speed=209.0 chunks/s ETA=8.2 min
[PROGRESS] 26,500/128,623 20.60% bad=0 repaired=0 failed=0 speed=210.8 chunks/s ETA=8.1 min
[PROGRESS] 26,750/128,623 20.80% bad=0 repaired=0 failed=0 speed=212.5 chunks/s ETA=8.0 min
[PROGRESS] 27,000/128,623 20.99% bad=0 repaired=0 failed=0 speed=214.2 chunks/s ETA=7.9 min
[PROGRESS] 27,250/128,623 21.19% bad=0 repaired=0 failed=0 speed=212.8 chunks/s ETA=7.9 min
[PROGRESS] 27,500/128,623 21.38% bad=0 repaired=0 failed=0 speed=211.1 chunks/s ETA=8.0 min
[PROGRESS] 27,750/128,623 21.57% bad=0 repaired=0 failed=0 speed=209.0 chunks/s ETA=8.0 min
[PROGRESS] 28,000/128,623 21.77% bad=0 repaired=0 failed=0 speed=207.1 chunks/s ETA=8.1 min
[PROGRESS] 28,250/128,623 21.96% bad=0 repaired=0 failed=0 speed=205.4 chunks/s ETA=8.1 min
[PROGRESS] 28,500/128,623 22.16% bad=0 repaired=0 failed=0 speed=203.8 chunks/s ETA=8.2 min
[PROGRESS] 28,750/128,623 22.35% bad=0 repaired=0 failed=0 speed=202.3 chunks/s ETA=8.2 min
[PROGRESS] 29,000/128,623 22.55% bad=0 repaired=0 failed=0 speed=198.0 chunks/s ETA=8.4 min
[PROGRESS] 29,250/128,623 22.74% bad=0 repaired=0 failed=0 speed=196.7 chunks/s ETA=8.4 min
[PROGRESS] 29,500/128,623 22.94% bad=0 repaired=0 failed=0 speed=195.4 chunks/s ETA=8.5 min
[PROGRESS] 29,750/128,623 23.13% bad=0 repaired=0 failed=0 speed=193.9 chunks/s ETA=8.5 min
[PROGRESS] 30,000/128,623 23.32% bad=0 repaired=0 failed=0 speed=192.6 chunks/s ETA=8.5 min
[PROGRESS] 30,250/128,623 23.52% bad=0 repaired=0 failed=0 speed=191.4 chunks/s ETA=8.6 min
[PROGRESS] 30,500/128,623 23.71% bad=0 repaired=0 failed=0 speed=190.0 chunks/s ETA=8.6 min
[PROGRESS] 30,750/128,623 23.91% bad=0 repaired=0 failed=0 speed=188.8 chunks/s ETA=8.6 min
[PROGRESS] 31,000/128,623 24.10% bad=0 repaired=0 failed=0 speed=187.3 chunks/s ETA=8.7 min
[PROGRESS] 31,250/128,623 24.30% bad=0 repaired=0 failed=0 speed=185.7 chunks/s ETA=8.7 min
[PROGRESS] 31,500/128,623 24.49% bad=0 repaired=0 failed=0 speed=183.5 chunks/s ETA=8.8 min
[PROGRESS] 31,750/128,623 24.68% bad=0 repaired=0 failed=0 speed=182.3 chunks/s ETA=8.9 min
[PROGRESS] 32,000/128,623 24.88% bad=0 repaired=0 failed=0 speed=181.3 chunks/s ETA=8.9 min
[PROGRESS] 32,250/128,623 25.07% bad=0 repaired=0 failed=0 speed=180.3 chunks/s ETA=8.9 min
[PROGRESS] 32,500/128,623 25.27% bad=0 repaired=0 failed=0 speed=179.1 chunks/s ETA=8.9 min
[PROGRESS] 32,750/128,623 25.46% bad=0 repaired=0 failed=0 speed=178.2 chunks/s ETA=9.0 min
[PROGRESS] 33,000/128,623 25.66% bad=0 repaired=0 failed=0 speed=177.0 chunks/s ETA=9.0 min
[PROGRESS] 33,250/128,623 25.85% bad=0 repaired=0 failed=0 speed=176.0 chunks/s ETA=9.0 min
[PROGRESS] 33,500/128,623 26.05% bad=0 repaired=0 failed=0 speed=175.1 chunks/s ETA=9.1 min
[PROGRESS] 33,750/128,623 26.24% bad=0 repaired=0 failed=0 speed=174.3 chunks/s ETA=9.1 min
[PROGRESS] 34,000/128,623 26.43% bad=0 repaired=0 failed=0 speed=173.5 chunks/s ETA=9.1 min
[PROGRESS] 34,250/128,623 26.63% bad=0 repaired=0 failed=0 speed=172.8 chunks/s ETA=9.1 min
[PROGRESS] 34,500/128,623 26.82% bad=0 repaired=0 failed=0 speed=172.1 chunks/s ETA=9.1 min
[PROGRESS] 34,750/128,623 27.02% bad=0 repaired=0 failed=0 speed=171.3 chunks/s ETA=9.1 min
[PROGRESS] 35,000/128,623 27.21% bad=0 repaired=0 failed=0 speed=170.5 chunks/s ETA=9.1 min

[VARIABLE] u_component_of_wind chunks=11,693
[PROGRESS] 35,250/128,623 27.41% bad=0 repaired=0 failed=0 speed=171.1 chunks/s ETA=9.1 min
[PROGRESS] 35,500/128,623 27.60% bad=0 repaired=0 failed=0 speed=172.2 chunks/s ETA=9.0 min
[PROGRESS] 35,750/128,623 27.79% bad=0 repaired=0 failed=0 speed=173.3 chunks/s ETA=8.9 min
[PROGRESS] 36,000/128,623 27.99% bad=0 repaired=0 failed=0 speed=174.3 chunks/s ETA=8.9 min
[PROGRESS] 36,250/128,623 28.18% bad=0 repaired=0 failed=0 speed=175.4 chunks/s ETA=8.8 min
[PROGRESS] 36,500/128,623 28.38% bad=0 repaired=0 failed=0 speed=176.5 chunks/s ETA=8.7 min
[PROGRESS] 36,750/128,623 28.57% bad=0 repaired=0 failed=0 speed=177.6 chunks/s ETA=8.6 min
[PROGRESS] 37,000/128,623 28.77% bad=0 repaired=0 failed=0 speed=178.7 chunks/s ETA=8.5 min
[PROGRESS] 37,250/128,623 28.96% bad=0 repaired=0 failed=0 speed=179.7 chunks/s ETA=8.5 min
[PROGRESS] 37,500/128,623 29.15% bad=0 repaired=0 failed=0 speed=180.8 chunks/s ETA=8.4 min
[PROGRESS] 37,750/128,623 29.35% bad=0 repaired=0 failed=0 speed=181.9 chunks/s ETA=8.3 min
[PROGRESS] 38,000/128,623 29.54% bad=0 repaired=0 failed=0 speed=183.0 chunks/s ETA=8.3 min
[PROGRESS] 38,250/128,623 29.74% bad=0 repaired=0 failed=0 speed=184.0 chunks/s ETA=8.2 min
[PROGRESS] 38,500/128,623 29.93% bad=0 repaired=0 failed=0 speed=185.1 chunks/s ETA=8.1 min
[PROGRESS] 38,750/128,623 30.13% bad=0 repaired=0 failed=0 speed=186.1 chunks/s ETA=8.1 min
[PROGRESS] 39,000/128,623 30.32% bad=0 repaired=0 failed=0 speed=185.1 chunks/s ETA=8.1 min
[PROGRESS] 39,250/128,623 30.52% bad=0 repaired=0 failed=0 speed=184.1 chunks/s ETA=8.1 min
[PROGRESS] 39,500/128,623 30.71% bad=0 repaired=0 failed=0 speed=183.2 chunks/s ETA=8.1 min
[PROGRESS] 39,750/128,623 30.90% bad=0 repaired=0 failed=0 speed=182.3 chunks/s ETA=8.1 min
[PROGRESS] 40,000/128,623 31.10% bad=0 repaired=0 failed=0 speed=180.6 chunks/s ETA=8.2 min
[PROGRESS] 40,250/128,623 31.29% bad=0 repaired=0 failed=0 speed=179.3 chunks/s ETA=8.2 min
[PROGRESS] 40,500/128,623 31.49% bad=0 repaired=0 failed=0 speed=178.3 chunks/s ETA=8.2 min

[BAD] var=u_component_of_wind chunk=5543 indices=44344:44352 time=1989-05-09T00:00:00.000000000..1989-05-10T18:00:00.000000000
[BAD] RuntimeError: error during blosc decompression: -1
[REMOTE] opening public WeatherBench2 GCS
[REPAIRED] u_component_of_wind chunk=5543
[PROGRESS] 40,750/128,623 31.68% bad=1 repaired=1 failed=0 speed=173.1 chunks/s ETA=8.5 min
[PROGRESS] 41,000/128,623 31.88% bad=1 repaired=1 failed=0 speed=172.4 chunks/s ETA=8.5 min
[PROGRESS] 41,250/128,623 32.07% bad=1 repaired=1 failed=0 speed=171.8 chunks/s ETA=8.5 min
[PROGRESS] 41,500/128,623 32.26% bad=1 repaired=1 failed=0 speed=171.2 chunks/s ETA=8.5 min

[BAD] var=u_component_of_wind chunk=6478 indices=51824:51832 time=1994-06-22T00:00:00.000000000..1994-06-23T18:00:00.000000000
[BAD] RuntimeError: error during blosc decompression: -1
[REPAIRED] u_component_of_wind chunk=6478

[BAD] var=u_component_of_wind chunk=6491 indices=51928:51936 time=1994-07-18T00:00:00.000000000..1994-07-19T18:00:00.000000000
[BAD] RuntimeError: error during blosc decompression: -1
[REPAIRED] u_component_of_wind chunk=6491

[BAD] var=u_component_of_wind chunk=6496 indices=51968:51976 time=1994-07-28T00:00:00.000000000..1994-07-29T18:00:00.000000000
[BAD] RuntimeError: error during blosc decompression: -1
[REPAIRED] u_component_of_wind chunk=6496

[BAD] var=u_component_of_wind chunk=6502 indices=52016:52024 time=1994-08-09T00:00:00.000000000..1994-08-10T18:00:00.000000000
[BAD] RuntimeError: error during blosc decompression: -1
[REPAIRED] u_component_of_wind chunk=6502

[BAD] var=u_component_of_wind chunk=6599 indices=52792:52800 time=1995-02-19T00:00:00.000000000..1995-02-20T18:00:00.000000000
[BAD] RuntimeError: error during blosc decompression: -1
[REPAIRED] u_component_of_wind chunk=6599
[PROGRESS] 41,750/128,623 32.46% bad=6 repaired=6 failed=0 speed=163.9 chunks/s ETA=8.8 min

[BAD] var=u_component_of_wind chunk=6722 indices=53776:53784 time=1995-10-23T00:00:00.000000000..1995-10-24T18:00:00.000000000
[BAD] RuntimeError: error during blosc decompression: -1
[REPAIRED] u_component_of_wind chunk=6722

[BAD] var=u_component_of_wind chunk=6838 indices=54704:54712 time=1996-06-11T00:00:00.000000000..1996-06-12T18:00:00.000000000
[BAD] RuntimeError: error during blosc decompression: -1
[REPAIRED] u_component_of_wind chunk=6838
[PROGRESS] 42,000/128,623 32.65% bad=8 repaired=8 failed=0 speed=160.7 chunks/s ETA=9.0 min
[PROGRESS] 42,250/128,623 32.85% bad=8 repaired=8 failed=0 speed=160.1 chunks/s ETA=9.0 min
[PROGRESS] 42,500/128,623 33.04% bad=8 repaired=8 failed=0 speed=159.4 chunks/s ETA=9.0 min

[BAD] var=u_component_of_wind chunk=7615 indices=60920:60928 time=2000-09-12T00:00:00.000000000..2000-09-13T18:00:00.000000000
[BAD] RuntimeError: error during blosc decompression: -1
[REPAIRED] u_component_of_wind chunk=7615
[PROGRESS] 42,750/128,623 33.24% bad=9 repaired=9 failed=0 speed=157.5 chunks/s ETA=9.1 min
[PROGRESS] 43,000/128,623 33.43% bad=9 repaired=9 failed=0 speed=157.0 chunks/s ETA=9.1 min
[PROGRESS] 43,250/128,623 33.63% bad=9 repaired=9 failed=0 speed=156.4 chunks/s ETA=9.1 min
[PROGRESS] 43,500/128,623 33.82% bad=9 repaired=9 failed=0 speed=155.8 chunks/s ETA=9.1 min
[PROGRESS] 43,750/128,623 34.01% bad=9 repaired=9 failed=0 speed=155.4 chunks/s ETA=9.1 min
[PROGRESS] 44,000/128,623 34.21% bad=9 repaired=9 failed=0 speed=155.0 chunks/s ETA=9.1 min
[PROGRESS] 44,250/128,623 34.40% bad=9 repaired=9 failed=0 speed=154.5 chunks/s ETA=9.1 min
[PROGRESS] 44,500/128,623 34.60% bad=9 repaired=9 failed=0 speed=154.1 chunks/s ETA=9.1 min
[PROGRESS] 44,750/128,623 34.79% bad=9 repaired=9 failed=0 speed=153.6 chunks/s ETA=9.1 min
[PROGRESS] 45,000/128,623 34.99% bad=9 repaired=9 failed=0 speed=153.2 chunks/s ETA=9.1 min
[PROGRESS] 45,250/128,623 35.18% bad=9 repaired=9 failed=0 speed=152.6 chunks/s ETA=9.1 min
[PROGRESS] 45,500/128,623 35.37% bad=9 repaired=9 failed=0 speed=152.2 chunks/s ETA=9.1 min
[PROGRESS] 45,750/128,623 35.57% bad=9 repaired=9 failed=0 speed=151.9 chunks/s ETA=9.1 min
[PROGRESS] 46,000/128,623 35.76% bad=9 repaired=9 failed=0 speed=151.5 chunks/s ETA=9.1 min
[PROGRESS] 46,250/128,623 35.96% bad=9 repaired=9 failed=0 speed=151.1 chunks/s ETA=9.1 min
[PROGRESS] 46,500/128,623 36.15% bad=9 repaired=9 failed=0 speed=150.8 chunks/s ETA=9.1 min
[PROGRESS] 46,750/128,623 36.35% bad=9 repaired=9 failed=0 speed=150.4 chunks/s ETA=9.1 min

[VARIABLE] v_component_of_wind chunks=11,693
[PROGRESS] 47,000/128,623 36.54% bad=9 repaired=9 failed=0 speed=151.0 chunks/s ETA=9.0 min
[PROGRESS] 47,250/128,623 36.74% bad=9 repaired=9 failed=0 speed=151.8 chunks/s ETA=8.9 min
[PROGRESS] 47,500/128,623 36.93% bad=9 repaired=9 failed=0 speed=152.5 chunks/s ETA=8.9 min
[PROGRESS] 47,750/128,623 37.12% bad=9 repaired=9 failed=0 speed=153.2 chunks/s ETA=8.8 min
[PROGRESS] 48,000/128,623 37.32% bad=9 repaired=9 failed=0 speed=154.0 chunks/s ETA=8.7 min
[PROGRESS] 48,250/128,623 37.51% bad=9 repaired=9 failed=0 speed=154.7 chunks/s ETA=8.7 min
[PROGRESS] 48,500/128,623 37.71% bad=9 repaired=9 failed=0 speed=155.5 chunks/s ETA=8.6 min
