variable,time_chunk_index,chunk_file,chunk_start,chunk_end,present,size_bytes,size_human
geopotential,3689,3689.0.0.0,1979-03-15T00:00:00.000000000,1979-03-16T18:00:00.000000000,True,7660586,7.31 MiB
geopotential,3690,3690.0.0.0,1979-03-17T00:00:00.000000000,1979-03-18T18:00:00.000000000,True,7650290,7.30 MiB
geopotential,3691,3691.0.0.0,1979-03-19T00:00:00.000000000,1979-03-20T18:00:00.000000000,True,7638183,7.28 MiB
geopotential,3692,3692.0.0.0,1979-03-21T00:00:00.000000000,1979-03-22T18:00:00.000000000,True,7647637,7.29 MiB
geopotential,3693,3693.0.0.0,1979-03-23T00:00:00.000000000,1979-03-24T18:00:00.000000000,True,7648667,7.29 MiB
geopotential,3694,3694.0.0.0,1979-03-25T00:00:00.000000000,1979-03-26T18:00:00.000000000,True,7676037,7.32 MiB
geopotential,3695,3695.0.0.0,1979-03-27T00:00:00.000000000,1979-03-28T18:00:00.000000000,True,7671822,7.32 MiB
geopotential,3696,3696.0.0.0,1979-03-29T00:00:00.000000000,1979-03-30T18:00:00.000000000,True,7674261,7.32 MiB
geopotential,3697,3697.0.0.0,1979-03-31T00:00:00.000000000,1979-04-01T18:00:00.000000000,True,7676967,7.32 MiB
geopotential,3698,3698.0.0.0,1979-04-02T00:00:00.000000000,1979-04-03T18:00:00.000000000,True,7661388,7.31 MiB
geopotential,3699,3699.0.0.0,1979-04-04T00:00:00.000000000,1979-04-05T18:00:00.000000000,True,7658551,7.30 MiB
geopotential,3700,3700.0.0.0,1979-04-06T00:00:00.000000000,1979-04-07T18:00:00.000000000,True,7643793,7.29 MiB
geopotential,3701,3701.0.0.0,1979-04-08T00:00:00.000000000,1979-04-09T18:00:00.000000000,True,7648014,7.29 MiB
geopotential,3702,3702.0.0.0,1979-04-10T00:00:00.000000000,1979-04-11T18:00:00.000000000,True,7646729,7.29 MiB
geopotential,3703,3703.0.0.0,1979-04-12T00:00:00.000000000,1979-04-13T18:00:00.000000000,True,7653394,7.30 MiB
geopotential,3704,3704.0.0.0,1979-04-14T00:00:00.000000000,1979-04-15T18:00:00.000000000,True,7634035,7.28 MiB
geopotential,3705,3705.0.0.0,1979-04-16T00:00:00.000000000,1979-04-17T18:00:00.000000000,True,7635736,7.28 MiB
geopotential,3706,3706.0.0.0,1979-04-18T00:00:00.000000000,1979-04-19T18:00:00.000000000,True,7629053,7.28 MiB
geopotential,3707,3707.0.0.0,1979-04-20T00:00:00.000000000,1979-04-21T18:00:00.000000000,True,7627616,7.27 MiB
geopotential,3708,3708.0.0.0,1979-04-22T00:00:00.000000000,1979-04-23T18:00:00.000000000,True,7643482,7.29 MiB
geopotential,3709,3709.0.0.0,1979-04-24T00:00:00.000000000,1979-04-25T18:00:00.000000000,True,7633550,7.28 MiB
geopotential,3710,3710.0.0.0,1979-04-26T00:00:00.000000000,1979-04-27T18:00:00.000000000,True,7626609,7.27 MiB
geopotential,3711,3711.0.0.0,1979-04-28T00:00:00.000000000,1979-04-29T18:00:00.000000000,True,7633085,7.28 MiB
geopotential,3712,3712.0.0.0,1979-04-30T00:00:00.000000000,1979-05-01T18:00:00.000000000,True,7651195,7.30 MiB
geopotential,3713,3713.0.0.0,1979-05-02T00:00:00.000000000,1979-05-03T18:00:00.000000000,True,7646581,7.29 MiB
geopotential,3714,3714.0.0.0,1979-05-04T00:00:00.000000000,1979-05-05T18:00:00.000000000,True,7653287,7.30 MiB
geopotential,3715,3715.0.0.0,1979-05-06T00:00:00.000000000,1979-05-07T18:00:00.000000000,True,7676039,7.32 MiB
geopotential,3716,3716.0.0.0,1979-05-08T00:00:00.000000000,1979-05-09T18:00:00.000000000,True,7662310,7.31 MiB
geopotential,3717,3717.0.0.0,1979-05-10T00:00:00.000000000,1979-05-11T18:00:00.000000000,True,7635755,7.28 MiB
geopotential,3718,3718.0.0.0,1979-05-12T00:00:00.000000000,1979-05-13T18:00:00.000000000,True,7626149,7.27 MiB
geopotential,3719,3719.0.0.0,1979-05-14T00:00:00.000000000,1979-05-15T18:00:00.000000000,True,7631437,7.28 MiB
geopotential,3720,3720.0.0.0,1979-05-16T00:00:00.000000000,1979-05-17T18:00:00.000000000,True,7626686,7.27 MiB
geopotential,3721,3721.0.0.0,1979-05-18T00:00:00.000000000,1979-05-19T18:00:00.000000000,True,7625001,7.27 MiB
geopotential,3722,3722.0.0.0,1979-05-20T00:00:00.000000000,1979-05-21T18:00:00.000000000,True,7626787,7.27 MiB
geopotential,3723,3723.0.0.0,1979-05-22T00:00:00.000000000,1979-05-23T18:00:00.000000000,True,7644434,7.29 MiB
geopotential,3724,3724.0.0.0,1979-05-24T00:00:00.000000000,1979-05-25T18:00:00.000000000,True,7655800,7.30 MiB
geopotential,3725,3725.0.0.0,1979-05-26T00:00:00.000000000,1979-05-27T18:00:00.000000000,True,7633465,7.28 MiB
geopotential,3726,3726.0.0.0,1979-05-28T00:00:00.000000000,1979-05-29T18:00:00.000000000,True,7631624,7.28 MiB
geopotential,3727,3727.0.0.0,1979-05-30T00:00:00.000000000,1979-05-31T18:00:00.000000000,True,7640359,7.29 MiB
geopotential,3728,3728.0.0.0,1979-06-01T00:00:00.000000000,1979-06-02T18:00:00.000000000,True,7643072,7.29 MiB
geopotential,3729,3729.0.0.0,1979-06-03T00:00:00.000000000,1979-06-04T18:00:00.000000000,True,7638799,7.28 MiB
geopotential,3730,3730.0.0.0,1979-06-05T00:00:00.000000000,1979-06-06T18:00:00.000000000,True,7627469,7.27 MiB
geopotential,3731,3731.0.0.0,1979-06-07T00:00:00.000000000,1979-06-08T18:00:00.000000000,True,7606092,7.25 MiB
geopotential,3732,3732.0.0.0,1979-06-09T00:00:00.000000000,1979-06-10T18:00:00.000000000,True,7606058,7.25 MiB
geopotential,3733,3733.0.0.0,1979-06-11T00:00:00.000000000,1979-06-12T18:00:00.000000000,True,7631426,7.28 MiB
geopotential,3734,3734.0.0.0,1979-06-13T00:00:00.000000000,1979-06-14T18:00:00.000000000,True,7639048,7.29 MiB
geopotential,3735,3735.0.0.0,1979-06-15T00:00:00.000000000,1979-06-16T18:00:00.000000000,True,7651943,7.30 MiB
geopotential,3736,3736.0.0.0,1979-06-17T00:00:00.000000000,1979-06-18T18:00:00.000000000,True,7652233,7.30 MiB
geopotential,3737,3737.0.0.0,1979-06-19T00:00:00.000000000,1979-06-20T18:00:00.000000000,True,7647416,7.29 MiB
geopotential,3738,3738.0.0.0,1979-06-21T00:00:00.000000000,1979-06-22T18:00:00.000000000,True,7631485,7.28 MiB
geopotential,3739,3739.0.0.0,1979-06-23T00:00:00.000000000,1979-06-24T18:00:00.000000000,True,7639031,7.29 MiB
geopotential,3740,3740.0.0.0,1979-06-25T00:00:00.000000000,1979-06-26T18:00:00.000000000,True,7640216,7.29 MiB
geopotential,3741,3741.0.0.0,1979-06-27T00:00:00.000000000,1979-06-28T18:00:00.000000000,True,7637055,7.28 MiB
geopotential,3742,3742.0.0.0,1979-06-29T00:00:00.000000000,1979-06-30T18:00:00.000000000,True,7643917,7.29 MiB
geopotential,3743,3743.0.0.0,1979-07-01T00:00:00.000000000,1979-07-02T18:00:00.000000000,True,7680362,7.32 MiB
geopotential,3744,3744.0.0.0,1979-07-03T00:00:00.000000000,1979-07-04T18:00:00.000000000,True,7675849,7.32 MiB
geopotential,3745,3745.0.0.0,1979-07-05T00:00:00.000000000,1979-07-06T18:00:00.000000000,True,7674551,7.32 MiB
geopotential,3746,3746.0.0.0,1979-07-07T00:00:00.000000000,1979-07-08T18:00:00.000000000,True,7678182,7.32 MiB
geopotential,3747,3747.0.0.0,1979-07-09T00:00:00.000000000,1979-07-10T18:00:00.000000000,True,7666568,7.31 MiB
geopotential,3748,3748.0.0.0,1979-07-11T00:00:00.000000000,1979-07-12T18:00:00.000000000,True,7656598,7.30 MiB
geopotential,3749,3749.0.0.0,1979-07-13T00:00:00.000000000,1979-07-14T18:00:00.000000000,True,7630106,7.28 MiB
geopotential,3750,3750.0.0.0,1979-07-15T00:00:00.000000000,1979-07-16T18:00:00.000000000,True,7624195,7.27 MiB
geopotential,3751,3751.0.0.0,1979-07-17T00:00:00.000000000,1979-07-18T18:00:00.000000000,True,7609300,7.26 MiB
geopotential,3752,3752.0.0.0,1979-07-19T00:00:00.000000000,1979-07-20T18:00:00.000000000,True,7609561,7.26 MiB
geopotential,3753,3753.0.0.0,1979-07-21T00:00:00.000000000,1979-07-22T18:00:00.000000000,True,7637960,7.28 MiB
geopotential,3754,3754.0.0.0,1979-07-23T00:00:00.000000000,1979-07-24T18:00:00.000000000,True,7629557,7.28 MiB
geopotential,3755,3755.0.0.0,1979-07-25T00:00:00.000000000,1979-07-26T18:00:00.000000000,True,7626899,7.27 MiB
geopotential,3756,3756.0.0.0,1979-07-27T00:00:00.000000000,1979-07-28T18:00:00.000000000,True,7649882,7.30 MiB
geopotential,3757,3757.0.0.0,1979-07-29T00:00:00.000000000,1979-07-30T18:00:00.000000000,True,7655318,7.30 MiB
geopotential,3758,3758.0.0.0,1979-07-31T00:00:00.000000000,1979-08-01T18:00:00.000000000,True,7656510,7.30 MiB
geopotential,3759,3759.0.0.0,1979-08-02T00:00:00.000000000,1979-08-03T18:00:00.000000000,True,7648978,7.29 MiB
geopotential,3760,3760.0.0.0,1979-08-04T00:00:00.000000000,1979-08-05T18:00:00.000000000,True,7662464,7.31 MiB
geopotential,3761,3761.0.0.0,1979-08-06T00:00:00.000000000,1979-08-07T18:00:00.000000000,True,7670216,7.31 MiB
geopotential,3762,3762.0.0.0,1979-08-08T00:00:00.000000000,1979-08-09T18:00:00.000000000,True,7662890,7.31 MiB
geopotential,3763,3763.0.0.0,1979-08-10T00:00:00.000000000,1979-08-11T18:00:00.000000000,True,7641201,7.29 MiB
geopotential,3764,3764.0.0.0,1979-08-12T00:00:00.000000000,1979-08-13T18:00:00.000000000,True,7645890,7.29 MiB
geopotential,3765,3765.0.0.0,1979-08-14T00:00:00.000000000,1979-08-15T18:00:00.000000000,True,7636137,7.28 MiB
geopotential,3766,3766.0.0.0,1979-08-16T00:00:00.000000000,1979-08-17T18:00:00.000000000,True,7633492,7.28 MiB
geopotential,3767,3767.0.0.0,1979-08-18T00:00:00.000000000,1979-08-19T18:00:00.000000000,True,7635138,7.28 MiB
geopotential,3768,3768.0.0.0,1979-08-20T00:00:00.000000000,1979-08-21T18:00:00.000000000,True,7619905,7.27 MiB
geopotential,3769,3769.0.0.0,1979-08-22T00:00:00.000000000,1979-08-23T18:00:00.000000000,True,7613749,7.26 MiB
geopotential,3770,3770.0.0.0,1979-08-24T00:00:00.000000000,1979-08-25T18:00:00.000000000,True,7598322,7.25 MiB
geopotential,3771,3771.0.0.0,1979-08-26T00:00:00.000000000,1979-08-27T18:00:00.000000000,True,7611802,7.26 MiB
geopotential,3772,3772.0.0.0,1979-08-28T00:00:00.000000000,1979-08-29T18:00:00.000000000,True,7622557,7.27 MiB
geopotential,3773,3773.0.0.0,1979-08-30T00:00:00.000000000,1979-08-31T18:00:00.000000000,True,7624164,7.27 MiB
geopotential,3774,3774.0.0.0,1979-09-01T00:00:00.000000000,1979-09-02T18:00:00.000000000,True,7658666,7.30 MiB
geopotential,3775,3775.0.0.0,1979-09-03T00:00:00.000000000,1979-09-04T18:00:00.000000000,True,7643688,7.29 MiB
geopotential,3776,3776.0.0.0,1979-09-05T00:00:00.000000000,1979-09-06T18:00:00.000000000,True,7624697,7.27 MiB
geopotential,3777,3777.0.0.0,1979-09-07T00:00:00.000000000,1979-09-08T18:00:00.000000000,True,7632235,7.28 MiB
geopotential,3778,3778.0.0.0,1979-09-09T00:00:00.000000000,1979-09-10T18:00:00.000000000,True,7632048,7.28 MiB
geopotential,3779,3779.0.0.0,1979-09-11T00:00:00.000000000,1979-09-12T18:00:00.000000000,True,7639478,7.29 MiB
geopotential,3780,3780.0.0.0,1979-09-13T00:00:00.000000000,1979-09-14T18:00:00.000000000,True,7641223,7.29 MiB
geopotential,3781,3781.0.0.0,1979-09-15T00:00:00.000000000,1979-09-16T18:00:00.000000000,True,7656277,7.30 MiB
geopotential,3782,3782.0.0.0,1979-09-17T00:00:00.000000000,1979-09-18T18:00:00.000000000,True,7664215,7.31 MiB
geopotential,3783,3783.0.0.0,1979-09-19T00:00:00.000000000,1979-09-20T18:00:00.000000000,True,7672978,7.32 MiB
geopotential,3784,3784.0.0.0,1979-09-21T00:00:00.000000000,1979-09-22T18:00:00.000000000,True,7661200,7.31 MiB
geopotential,3785,3785.0.0.0,1979-09-23T00:00:00.000000000,1979-09-24T18:00:00.000000000,True,7645006,7.29 MiB
geopotential,3786,3786.0.0.0,1979-09-25T00:00:00.000000000,1979-09-26T18:00:00.000000000,True,7660319,7.31 MiB
geopotential,3787,3787.0.0.0,1979-09-27T00:00:00.000000000,1979-09-28T18:00:00.000000000,True,7653200,7.30 MiB
geopotential,3788,3788.0.0.0,1979-09-29T00:00:00.000000000,1979-09-30T18:00:00.000000000,True,7651905,7.30 MiB
geopotential,3789,3789.0.0.0,1979-10-01T00:00:00.000000000,1979-10-02T18:00:00.000000000,True,7641389,7.29 MiB
geopotential,3790,3790.0.0.0,1979-10-03T00:00:00.000000000,1979-10-04T18:00:00.000000000,True,7659322,7.30 MiB
geopotential,3791,3791.0.0.0,1979-10-05T00:00:00.000000000,1979-10-06T18:00:00.000000000,True,7671151,7.32 MiB
geopotential,3792,3792.0.0.0,1979-10-07T00:00:00.000000000,1979-10-08T18:00:00.000000000,True,7675797,7.32 MiB
geopotential,3793,3793.0.0.0,1979-10-09T00:00:00.000000000,1979-10-10T18:00:00.000000000,True,7688619,7.33 MiB
geopotential,3794,3794.0.0.0,1979-10-11T00:00:00.000000000,1979-10-12T18:00:00.000000000,True,7669805,7.31 MiB
geopotential,3795,3795.0.0.0,1979-10-13T00:00:00.000000000,1979-10-14T18:00:00.000000000,True,7654110,7.30 MiB
geopotential,3796,3796.0.0.0,1979-10-15T00:00:00.000000000,1979-10-16T18:00:00.000000000,True,7644355,7.29 MiB
geopotential,3797,3797.0.0.0,1979-10-17T00:00:00.000000000,1979-10-18T18:00:00.000000000,True,7649523,7.30 MiB
geopotential,3798,3798.0.0.0,1979-10-19T00:00:00.000000000,1979-10-20T18:00:00.000000000,True,7667114,7.31 MiB
geopotential,3799,3799.0.0.0,1979-10-21T00:00:00.000000000,1979-10-22T18:00:00.000000000,True,7664110,7.31 MiB
geopotential,3800,3800.0.0.0,1979-10-23T00:00:00.000000000,1979-10-24T18:00:00.000000000,True,7661407,7.31 MiB
geopotential,3801,3801.0.0.0,1979-10-25T00:00:00.000000000,1979-10-26T18:00:00.000000000,True,7669704,7.31 MiB
geopotential,3802,3802.0.0.0,1979-10-27T00:00:00.000000000,1979-10-28T18:00:00.000000000,True,7697365,7.34 MiB
geopotential,3803,3803.0.0.0,1979-10-29T00:00:00.000000000,1979-10-30T18:00:00.000000000,True,7689864,7.33 MiB
geopotential,3804,3804.0.0.0,1979-10-31T00:00:00.000000000,1979-11-01T18:00:00.000000000,True,7650228,7.30 MiB
geopotential,3805,3805.0.0.0,1979-11-02T00:00:00.000000000,1979-11-03T18:00:00.000000000,True,7649380,7.30 MiB
geopotential,3806,3806.0.0.0,1979-11-04T00:00:00.000000000,1979-11-05T18:00:00.000000000,True,7653307,7.30 MiB
geopotential,3807,3807.0.0.0,1979-11-06T00:00:00.000000000,1979-11-07T18:00:00.000000000,True,7660270,7.31 MiB
geopotential,3808,3808.0.0.0,1979-11-08T00:00:00.000000000,1979-11-09T18:00:00.000000000,True,7666734,7.31 MiB
geopotential,3809,3809.0.0.0,1979-11-10T00:00:00.000000000,1979-11-11T18:00:00.000000000,True,7664088,7.31 MiB
geopotential,3810,3810.0.0.0,1979-11-12T00:00:00.000000000,1979-11-13T18:00:00.000000000,True,7666883,7.31 MiB
geopotential,3811,3811.0.0.0,1979-11-14T00:00:00.000000000,1979-11-15T18:00:00.000000000,True,7684529,7.33 MiB
geopotential,3812,3812.0.0.0,1979-11-16T00:00:00.000000000,1979-11-17T18:00:00.000000000,True,7698886,7.34 MiB
geopotential,3813,3813.0.0.0,1979-11-18T00:00:00.000000000,1979-11-19T18:00:00.000000000,True,7690013,7.33 MiB
geopotential,3814,3814.0.0.0,1979-11-20T00:00:00.000000000,1979-11-21T18:00:00.000000000,True,7694881,7.34 MiB
geopotential,3815,3815.0.0.0,1979-11-22T00:00:00.000000000,1979-11-23T18:00:00.000000000,True,7684516,7.33 MiB
geopotential,3816,3816.0.0.0,1979-11-24T00:00:00.000000000,1979-11-25T18:00:00.000000000,True,7685775,7.33 MiB
geopotential,3817,3817.0.0.0,1979-11-26T00:00:00.000000000,1979-11-27T18:00:00.000000000,True,7668652,7.31 MiB
geopotential,3818,3818.0.0.0,1979-11-28T00:00:00.000000000,1979-11-29T18:00:00.000000000,True,7666366,7.31 MiB
geopotential,3819,3819.0.0.0,1979-11-30T00:00:00.000000000,1979-12-01T18:00:00.000000000,True,7674728,7.32 MiB
geopotential,3820,3820.0.0.0,1979-12-02T00:00:00.000000000,1979-12-03T18:00:00.000000000,True,7680699,7.32 MiB
geopotential,3821,3821.0.0.0,1979-12-04T00:00:00.000000000,1979-12-05T18:00:00.000000000,True,7681380,7.33 MiB
geopotential,3822,3822.0.0.0,1979-12-06T00:00:00.000000000,1979-12-07T18:00:00.000000000,True,7645948,7.29 MiB
geopotential,3823,3823.0.0.0,1979-12-08T00:00:00.000000000,1979-12-09T18:00:00.000000000,True,7649392,7.30 MiB
geopotential,3824,3824.0.0.0,1979-12-10T00:00:00.000000000,1979-12-11T18:00:00.000000000,True,7639614,7.29 MiB
geopotential,3825,3825.0.0.0,1979-12-12T00:00:00.000000000,1979-12-13T18:00:00.000000000,True,7643510,7.29 MiB
geopotential,3826,3826.0.0.0,1979-12-14T00:00:00.000000000,1979-12-15T18:00:00.000000000,True,7670471,7.32 MiB
geopotential,3827,3827.0.0.0,1979-12-16T00:00:00.000000000,1979-12-17T18:00:00.000000000,True,7664420,7.31 MiB
geopotential,3828,3828.0.0.0,1979-12-18T00:00:00.000000000,1979-12-19T18:00:00.000000000,True,7638020,7.28 MiB
geopotential,3829,3829.0.0.0,1979-12-20T00:00:00.000000000,1979-12-21T18:00:00.000000000,True,7672898,7.32 MiB
geopotential,3830,3830.0.0.0,1979-12-22T00:00:00.000000000,1979-12-23T18:00:00.000000000,True,7669032,7.31 MiB
geopotential,3831,3831.0.0.0,1979-12-24T00:00:00.000000000,1979-12-25T18:00:00.000000000,True,7666963,7.31 MiB
geopotential,3832,3832.0.0.0,1979-12-26T00:00:00.000000000,1979-12-27T18:00:00.000000000,True,7628166,7.27 MiB
geopotential,3833,3833.0.0.0,1979-12-28T00:00:00.000000000,1979-12-29T18:00:00.000000000,True,7617086,7.26 MiB
geopotential,3834,3834.0.0.0,1979-12-30T00:00:00.000000000,1979-12-31T18:00:00.000000000,True,7618203,7.27 MiB
geopotential,3835,3835.0.0.0,1980-01-01T00:00:00.000000000,1980-01-02T18:00:00.000000000,True,7621963,7.27 MiB
geopotential,3836,3836.0.0.0,1980-01-03T00:00:00.000000000,1980-01-04T18:00:00.000000000,True,7647209,7.29 MiB
geopotential,3837,3837.0.0.0,1980-01-05T00:00:00.000000000,1980-01-06T18:00:00.000000000,True,7671087,7.32 MiB
geopotential,3838,3838.0.0.0,1980-01-07T00:00:00.000000000,1980-01-08T18:00:00.000000000,True,7691800,7.34 MiB
geopotential,3839,3839.0.0.0,1980-01-09T00:00:00.000000000,1980-01-10T18:00:00.000000000,True,7698908,7.34 MiB
geopotential,3840,3840.0.0.0,1980-01-11T00:00:00.000000000,1980-01-12T18:00:00.000000000,True,7678830,7.32 MiB
geopotential,3841,3841.0.0.0,1980-01-13T00:00:00.000000000,1980-01-14T18:00:00.000000000,True,7685104,7.33 MiB
geopotential,3842,3842.0.0.0,1980-01-15T00:00:00.000000000,1980-01-16T18:00:00.000000000,True,7669068,7.31 MiB
geopotential,3843,3843.0.0.0,1980-01-17T00:00:00.000000000,1980-01-18T18:00:00.000000000,True,7633991,7.28 MiB
geopotential,3844,3844.0.0.0,1980-01-19T00:00:00.000000000,1980-01-20T18:00:00.000000000,True,7642097,7.29 MiB
geopotential,3845,3845.0.0.0,1980-01-21T00:00:00.000000000,1980-01-22T18:00:00.000000000,True,7660676,7.31 MiB
geopotential,3846,3846.0.0.0,1980-01-23T00:00:00.000000000,1980-01-24T18:00:00.000000000,True,7686645,7.33 MiB
geopotential,3847,3847.0.0.0,1980-01-25T00:00:00.000000000,1980-01-26T18:00:00.000000000,True,7692959,7.34 MiB
geopotential,3848,3848.0.0.0,1980-01-27T00:00:00.000000000,1980-01-28T18:00:00.000000000,True,7662354,7.31 MiB
geopotential,3849,3849.0.0.0,1980-01-29T00:00:00.000000000,1980-01-30T18:00:00.000000000,True,7653450,7.30 MiB
geopotential,3850,3850.0.0.0,1980-01-31T00:00:00.000000000,1980-02-01T18:00:00.000000000,True,7653357,7.30 MiB
geopotential,3851,3851.0.0.0,1980-02-02T00:00:00.000000000,1980-02-03T18:00:00.000000000,True,7645227,7.29 MiB
geopotential,3852,3852.0.0.0,1980-02-04T00:00:00.000000000,1980-02-05T18:00:00.000000000,True,7648010,7.29 MiB
geopotential,3853,3853.0.0.0,1980-02-06T00:00:00.000000000,1980-02-07T18:00:00.000000000,True,7649191,7.29 MiB
geopotential,3854,3854.0.0.0,1980-02-08T00:00:00.000000000,1980-02-09T18:00:00.000000000,True,7653277,7.30 MiB
geopotential,3855,3855.0.0.0,1980-02-10T00:00:00.000000000,1980-02-11T18:00:00.000000000,True,7681270,7.33 MiB
geopotential,3856,3856.0.0.0,1980-02-12T00:00:00.000000000,1980-02-13T18:00:00.000000000,True,7698208,7.34 MiB
geopotential,3857,3857.0.0.0,1980-02-14T00:00:00.000000000,1980-02-15T18:00:00.000000000,True,7697275,7.34 MiB
geopotential,3858,3858.0.0.0,1980-02-16T00:00:00.000000000,1980-02-17T18:00:00.000000000,True,7682193,7.33 MiB
geopotential,3859,3859.0.0.0,1980-02-18T00:00:00.000000000,1980-02-19T18:00:00.000000000,True,7649979,7.30 MiB
geopotential,3860,3860.0.0.0,1980-02-20T00:00:00.000000000,1980-02-21T18:00:00.000000000,True,7650747,7.30 MiB
geopotential,3861,3861.0.0.0,1980-02-22T00:00:00.000000000,1980-02-23T18:00:00.000000000,True,7653479,7.30 MiB
geopotential,3862,3862.0.0.0,1980-02-24T00:00:00.000000000,1980-02-25T18:00:00.000000000,True,7679113,7.32 MiB
geopotential,3863,3863.0.0.0,1980-02-26T00:00:00.000000000,1980-02-27T18:00:00.000000000,True,7662402,7.31 MiB
geopotential,3864,3864.0.0.0,1980-02-28T00:00:00.000000000,1980-02-29T18:00:00.000000000,True,7663527,7.31 MiB
geopotential,3865,3865.0.0.0,1980-03-01T00:00:00.000000000,1980-03-02T18:00:00.000000000,True,7662184,7.31 MiB
